id,company,title,job_date,is_remote,role_family,job_url,collected_at,raw_json
24,Quill,Quill (YC W20) Is Hiring a Fullstack SWE,2026-09-01,0,Engineering,https://news.ycombinator.com/item?id=49524704,2026-09-11T13:23:39.433586+00:00,"{""schemaVersion"":""1.0"",""recordType"":""JOB"",""source"":{""name"":""HackerNews Jobs"",""url"":""https://news.ycombinator.com/item?id=49524704""},""content"":{""company"":""Quill"",""date"":""2026-09-01"",""is_remote"":false,""role_family"":""Engineering"",""title"":""Quill (YC W20) Is Hiring a Fullstack SWE"",""job_url"":""https://news.ycombinator.com/item?id=49524704"",""location"":null},""collectedAt"":""2026-09-11T13:23:39.433586+00:00""}"
25,Collectwise,CollectWise (YC F24) Is Hiring,2026-09-01,0,Engineering,https://news.ycombinator.com/item?id=49518877,2026-09-11T13:23:40.554748+00:00,"{""schemaVersion"":""1.0"",""recordType"":""JOB"",""source"":{""name"":""HackerNews Jobs"",""url"":""https://news.ycombinator.com/item?id=49518877""},""content"":{""company"":""Collectwise"",""date"":""2026-09-01"",""is_remote"":false,""role_family"":""Engineering"",""title"":""CollectWise (YC F24) Is Hiring"",""job_url"":""https://news.ycombinator.com/item?id=49518877"",""location"":null},""collectedAt"":""2026-09-11T13:23:40.554748+00:00""}"
26,Tech Startup,Fin: Solutions Architect -Spanish Speaking,2026-09-11,1,Engineering,https://weworkremotely.com/remote-jobs/fin-solutions-architect-spanish-speaking,2026-09-11T13:23:41.624236+00:00,"{""schemaVersion"":""1.0"",""recordType"":""JOB"",""source"":{""name"":""WeWorkRemotely"",""url"":""https://weworkremotely.com/remote-jobs/fin-solutions-architect-spanish-speaking""},""content"":{""company"":""Tech Startup"",""date"":""2026-09-11"",""is_remote"":true,""role_family"":""Engineering"",""title"":""Fin: Solutions Architect -Spanish Speaking"",""job_url"":""https://weworkremotely.com/remote-jobs/fin-solutions-architect-spanish-speaking"",""location"":null},""collectedAt"":""2026-09-11T13:23:41.624236+00:00""}"
27,Tech Startup,Toptal: Power Platform Solutions Architect,2026-09-10,1,Engineering,https://weworkremotely.com/remote-jobs/toptal-power-platform-solutions-architect,2026-09-11T13:23:41.624236+00:00,"{""schemaVersion"":""1.0"",""recordType"":""JOB"",""source"":{""name"":""WeWorkRemotely"",""url"":""https://weworkremotely.com/remote-jobs/toptal-power-platform-solutions-architect""},""content"":{""company"":""Tech Startup"",""date"":""2026-09-10"",""is_remote"":true,""role_family"":""Engineering"",""title"":""Toptal: Power Platform Solutions Architect"",""job_url"":""https://weworkremotely.com/remote-jobs/toptal-power-platform-solutions-architect"",""location"":null},""collectedAt"":""2026-09-11T13:23:41.624236+00:00""}"
28,Tech Startup,Flexport: Senior Systems Engineer (Identity and Access),2026-09-10,1,Engineering,https://weworkremotely.com/remote-jobs/flexport-senior-systems-engineer-identity-and-access,2026-09-11T13:23:41.624236+00:00,"{""schemaVersion"":""1.0"",""recordType"":""JOB"",""source"":{""name"":""WeWorkRemotely"",""url"":""https://weworkremotely.com/remote-jobs/flexport-senior-systems-engineer-identity-and-access""},""content"":{""company"":""Tech Startup"",""date"":""2026-09-10"",""is_remote"":true,""role_family"":""Engineering"",""title"":""Flexport: Senior Systems Engineer (Identity and Access)"",""job_url"":""https://weworkremotely.com/remote-jobs/flexport-senior-systems-engineer-identity-and-access"",""location"":null},""collectedAt"":""2026-09-11T13:23:41.624236+00:00""}"
29,Tech Startup,Salesloft: Commercial Account Manager,2026-09-09,1,Engineering,https://weworkremotely.com/remote-jobs/salesloft-commercial-account-manager,2026-09-11T13:23:41.624236+00:00,"{""schemaVersion"":""1.0"",""recordType"":""JOB"",""source"":{""name"":""WeWorkRemotely"",""url"":""https://weworkremotely.com/remote-jobs/salesloft-commercial-account-manager""},""content"":{""company"":""Tech Startup"",""date"":""2026-09-09"",""is_remote"":true,""role_family"":""Engineering"",""title"":""Salesloft: Commercial Account Manager"",""job_url"":""https://weworkremotely.com/remote-jobs/salesloft-commercial-account-manager"",""location"":null},""collectedAt"":""2026-09-11T13:23:41.624236+00:00""}"
30,Tech Startup,Lemon.io: Senior .NET Full-stack Developer,2026-09-08,1,Engineering,https://weworkremotely.com/remote-jobs/lemon-io-senior-net-full-stack-developer-1,2026-09-11T13:23:41.625247+00:00,"{""schemaVersion"":""1.0"",""recordType"":""JOB"",""source"":{""name"":""WeWorkRemotely"",""url"":""https://weworkremotely.com/remote-jobs/lemon-io-senior-net-full-stack-developer-1""},""content"":{""company"":""Tech Startup"",""date"":""2026-09-08"",""is_remote"":true,""role_family"":""Engineering"",""title"":""Lemon.io: Senior .NET Full-stack Developer"",""job_url"":""https://weworkremotely.com/remote-jobs/lemon-io-senior-net-full-stack-developer-1"",""location"":null},""collectedAt"":""2026-09-11T13:23:41.625247+00:00""}"
31,Tech Startup,Lemon.io: Senior Java & React Developer,2026-09-07,1,Engineering,https://weworkremotely.com/remote-jobs/lemon-io-senior-java-react-developer,2026-09-11T13:23:41.625247+00:00,"{""schemaVersion"":""1.0"",""recordType"":""JOB"",""source"":{""name"":""WeWorkRemotely"",""url"":""https://weworkremotely.com/remote-jobs/lemon-io-senior-java-react-developer""},""content"":{""company"":""Tech Startup"",""date"":""2026-09-07"",""is_remote"":true,""role_family"":""Engineering"",""title"":""Lemon.io: Senior Java & React Developer"",""job_url"":""https://weworkremotely.com/remote-jobs/lemon-io-senior-java-react-developer"",""location"":null},""collectedAt"":""2026-09-11T13:23:41.625247+00:00""}"
32,Tech Startup,Legion: Director of Production Engineering,2026-09-07,1,Engineering,https://weworkremotely.com/remote-jobs/legion-director-of-production-engineering,2026-09-11T13:23:41.625247+00:00,"{""schemaVersion"":""1.0"",""recordType"":""JOB"",""source"":{""name"":""WeWorkRemotely"",""url"":""https://weworkremotely.com/remote-jobs/legion-director-of-production-engineering""},""content"":{""company"":""Tech Startup"",""date"":""2026-09-07"",""is_remote"":true,""role_family"":""Engineering"",""title"":""Legion: Director of Production Engineering"",""job_url"":""https://weworkremotely.com/remote-jobs/legion-director-of-production-engineering"",""location"":null},""collectedAt"":""2026-09-11T13:23:41.625247+00:00""}"
33,Tech Startup,Legion: Chief Architect,2026-09-07,1,Engineering,https://weworkremotely.com/remote-jobs/legion-chief-architect,2026-09-11T13:23:41.625247+00:00,"{""schemaVersion"":""1.0"",""recordType"":""JOB"",""source"":{""name"":""WeWorkRemotely"",""url"":""https://weworkremotely.com/remote-jobs/legion-chief-architect""},""content"":{""company"":""Tech Startup"",""date"":""2026-09-07"",""is_remote"":true,""role_family"":""Engineering"",""title"":""Legion: Chief Architect"",""job_url"":""https://weworkremotely.com/remote-jobs/legion-chief-architect"",""location"":null},""collectedAt"":""2026-09-11T13:23:41.625247+00:00""}"
34,Tech Startup,"Track it Forward: Lead Developer — Rebuild, Modernize, & Scale (Social Good SaaS, Remote)",2026-09-04,1,Engineering,https://weworkremotely.com/remote-jobs/track-it-forward-lead-developer-rebuild-modernize-scale-social-good-saas-remote,2026-09-11T13:23:41.626246+00:00,"{""schemaVersion"":""1.0"",""recordType"":""JOB"",""source"":{""name"":""WeWorkRemotely"",""url"":""https://weworkremotely.com/remote-jobs/track-it-forward-lead-developer-rebuild-modernize-scale-social-good-saas-remote""},""content"":{""company"":""Tech Startup"",""date"":""2026-09-04"",""is_remote"":true,""role_family"":""Engineering"",""title"":""Track it Forward: Lead Developer — Rebuild, Modernize, & Scale (Social Good SaaS, Remote)"",""job_url"":""https://weworkremotely.com/remote-jobs/track-it-forward-lead-developer-rebuild-modernize-scale-social-good-saas-remote"",""location"":null},""collectedAt"":""2026-09-11T13:23:41.626246+00:00""}"
35,Tech Startup,Lemon.io: Senior React Native Developer,2026-09-04,1,Engineering,https://weworkremotely.com/remote-jobs/lemon-io-senior-react-native-developer-1,2026-09-11T13:23:41.626246+00:00,"{""schemaVersion"":""1.0"",""recordType"":""JOB"",""source"":{""name"":""WeWorkRemotely"",""url"":""https://weworkremotely.com/remote-jobs/lemon-io-senior-react-native-developer-1""},""content"":{""company"":""Tech Startup"",""date"":""2026-09-04"",""is_remote"":true,""role_family"":""Engineering"",""title"":""Lemon.io: Senior React Native Developer"",""job_url"":""https://weworkremotely.com/remote-jobs/lemon-io-senior-react-native-developer-1"",""location"":null},""collectedAt"":""2026-09-11T13:23:41.626246+00:00""}"
